,代码,市场,数量,相对权重,方向,量比,valuation_date,update_time
229,600642.SH,,100.0,,1,,2025-06-11,2025-06-11 17:58
230,002637.SZ,,200.0,,1,,2025-06-11,2025-06-11 17:58
231,601186.SH,,200.0,,1,,2025-06-11,2025-06-11 17:58
232,600153.SH,,100.0,,1,,2025-06-11,2025-06-11 17:58
233,000988.SZ,,200.0,,1,,2025-06-11,2025-06-11 17:58
234,002129.SZ,,300.0,,1,,2025-06-11,2025-06-11 17:58
235,600104.SH,,100.0,,1,,2025-06-11,2025-06-11 17:58
236,601111.SH,,200.0,,1,,2025-06-11,2025-06-11 17:58
237,002065.SZ,,100.0,,1,,2025-06-11,2025-06-11 17:58
238,601577.SH,,100.0,,1,,2025-06-11,2025-06-11 17:58
239,601328.SH,,100.0,,1,,2025-06-11,2025-06-11 17:58
240,002042.SZ,,200.0,,1,,2025-06-11,2025-06-11 17:58
241,002382.SZ,,200.0,,1,,2025-06-11,2025-06-11 17:58
242,300919.SZ,,100.0,,1,,2025-06-11,2025-06-11 17:58
243,003022.SZ,,100.0,,1,,2025-06-11,2025-06-11 17:58
244,002035.SZ,,100.0,,1,,2025-06-11,2025-06-11 17:58
245,603919.SH,,100.0,,1,,2025-06-11,2025-06-11 17:58
246,601949.SH,,100.0,,1,,2025-06-11,2025-06-11 17:58
247,603728.SH,,100.0,,1,,2025-06-11,2025-06-11 17:58
248,300073.SZ,,100.0,,1,,2025-06-11,2025-06-11 17:58
249,600143.SH,,100.0,,1,,2025-06-11,2025-06-11 17:58
250,601838.SH,,100.0,,1,,2025-06-11,2025-06-11 17:58
251,002128.SZ,,100.0,,1,,2025-06-11,2025-06-11 17:58
252,002507.SZ,,100.0,,1,,2025-06-11,2025-06-11 17:58
253,600000.SH,,100.0,,1,,2025-06-11,2025-06-11 17:58
254,600176.SH,,100.0,,1,,2025-06-11,2025-06-11 17:58
255,301358.SZ,,100.0,,1,,2025-06-11,2025-06-11 17:58
256,000883.SZ,,100.0,,1,,2025-06-11,2025-06-11 17:58
257,600395.SH,,200.0,,1,,2025-06-11,2025-06-11 17:58
258,002410.SZ,,200.0,,1,,2025-06-11,2025-06-11 17:58
259,601099.SH,,500.0,,1,,2025-06-11,2025-06-11 17:58
260,603612.SH,,100.0,,1,,2025-06-11,2025-06-11 17:58
261,601360.SH,,100.0,,1,,2025-06-11,2025-06-11 17:58
262,600028.SH,,200.0,,1,,2025-06-11,2025-06-11 17:58
263,300207.SZ,,300.0,,1,,2025-06-11,2025-06-11 17:58
264,002056.SZ,,100.0,,1,,2025-06-11,2025-06-11 17:58
265,002432.SZ,,100.0,,1,,2025-06-11,2025-06-11 17:58
266,600098.SH,,100.0,,1,,2025-06-11,2025-06-11 17:58
267,300520.SZ,,12700.0,,0,,2025-06-11,2025-06-11 17:58
268,002701.SZ,,100.0,,1,,2025-06-11,2025-06-11 17:58
269,002832.SZ,,100.0,,1,,2025-06-11,2025-06-11 17:58
270,600810.SH,,100.0,,1,,2025-06-11,2025-06-11 17:58
271,300481.SZ,,200.0,,1,,2025-06-11,2025-06-11 17:58
272,300793.SZ,,18700.0,,0,,2025-06-11,2025-06-11 17:58
273,600325.SH,,200.0,,1,,2025-06-11,2025-06-11 17:58
274,002317.SZ,,300.0,,1,,2025-06-11,2025-06-11 17:58
275,600637.SH,,100.0,,1,,2025-06-11,2025-06-11 17:58
276,601009.SH,,100.0,,1,,2025-06-11,2025-06-11 17:58
277,600580.SH,,200.0,,1,,2025-06-11,2025-06-11 17:58
278,601965.SH,,100.0,,1,,2025-06-11,2025-06-11 17:58
279,002202.SZ,,100.0,,1,,2025-06-11,2025-06-11 17:58
280,601801.SH,,100.0,,1,,2025-06-11,2025-06-11 17:58
281,688375.SH,,100.0,,1,,2025-06-11,2025-06-11 17:58
282,002270.SZ,,100.0,,1,,2025-06-11,2025-06-11 17:58
283,600035.SH,,200.0,,1,,2025-06-11,2025-06-11 17:58
284,002559.SZ,,100.0,,1,,2025-06-11,2025-06-11 17:58
285,301122.SZ,,10000.0,,1,,2025-06-11,2025-06-11 17:58
286,002203.SZ,,100.0,,1,,2025-06-11,2025-06-11 17:58
287,601696.SH,,100.0,,1,,2025-06-11,2025-06-11 17:58
288,601615.SH,,100.0,,1,,2025-06-11,2025-06-11 17:58
289,002085.SZ,,300.0,,1,,2025-06-11,2025-06-11 17:58
290,300769.SZ,,100.0,,1,,2025-06-11,2025-06-11 17:58
291,603876.SH,,100.0,,1,,2025-06-11,2025-06-11 17:58
292,603185.SH,,800.0,,0,,2025-06-11,2025-06-11 17:58
293,600901.SH,,100.0,,1,,2025-06-11,2025-06-11 17:58
294,300595.SZ,,100.0,,1,,2025-06-11,2025-06-11 17:58
295,600236.SH,,100.0,,1,,2025-06-11,2025-06-11 17:58
296,688278.SH,,100.0,,1,,2025-06-11,2025-06-11 17:58
297,601169.SH,,200.0,,1,,2025-06-11,2025-06-11 17:58
298,601818.SH,,300.0,,1,,2025-06-11,2025-06-11 17:58
299,002156.SZ,,200.0,,1,,2025-06-11,2025-06-11 17:58
300,601668.SH,,100.0,,1,,2025-06-11,2025-06-11 17:58
301,002385.SZ,,200.0,,1,,2025-06-11,2025-06-11 17:58
302,600720.SH,,100.0,,1,,2025-06-11,2025-06-11 17:58
303,603129.SH,,100.0,,1,,2025-06-11,2025-06-11 17:58
304,002478.SZ,,200.0,,1,,2025-06-11,2025-06-11 17:58
305,600497.SH,,100.0,,1,,2025-06-11,2025-06-11 17:58
306,600288.SH,,33100.0,,0,,2025-06-11,2025-06-11 17:58
307,000683.SZ,,100.0,,1,,2025-06-11,2025-06-11 17:58
308,603227.SH,,100.0,,1,,2025-06-11,2025-06-11 17:58
309,601677.SH,,100.0,,1,,2025-06-11,2025-06-11 17:58
310,002078.SZ,,100.0,,1,,2025-06-11,2025-06-11 17:58
311,601098.SH,,100.0,,1,,2025-06-11,2025-06-11 17:58
312,300463.SZ,,200.0,,1,,2025-06-11,2025-06-11 17:58
313,300699.SZ,,100.0,,1,,2025-06-11,2025-06-11 17:58
314,000498.SZ,,200.0,,1,,2025-06-11,2025-06-11 17:58
315,601717.SH,,100.0,,1,,2025-06-11,2025-06-11 17:58
316,300212.SZ,,100.0,,1,,2025-06-11,2025-06-11 17:58
317,300327.SZ,,900.0,,1,,2025-06-11,2025-06-11 17:58
318,002516.SZ,,200.0,,1,,2025-06-11,2025-06-11 17:58
